statename,year,county,status,combustion_technology,emission_factor_kg_of_co2_per_tj,annual_co2_million_tonnes_annum,lifetime_co2
Georgia,1975,Bartow,operating,supercritical,94600,4.5,62.5
Nebraska,1982,Hall,operating,subcritical,96100,0.6,3.1
West Virginia,1979,Pleasants,operating,supercritical,94600,3.2,6.4
West Virginia,1980,Pleasants,operating,supercritical,94600,3.2,6.4
Arkansas,2010,NA,operating,subcritical,96100,3.1,87.4
Florida,1986,NA,operating,igcc,96100,1,3.8
Illinois,1972,Tazewell,operating,subcritical,96100,4.4,39.6
Illinois,1975,Tazewell,operating,subcritical,96100,4.4,39.6
Iowa,1958,Linn,operating,subcritical,94600,0.3,1.1
Illinois,2012,St. Clair,operating,supercritical,94600,3.6,109.3
Illinois,2012,St. Clair,operating,supercritical,94600,3.6,109.3
Colorado,1984,Larimer,operating,subcritical,96100,1.7,15.1
Colorado,1980,El Paso,operating,subcritical,94600,1.2,10.5
Mississippi,2001,Choctaw,operating,subcritical,101000,2.6,48.5
Oklahoma,1990,Leflore,operating,subcritical,94600,1,7.9
Oklahoma,1990,Leflore,operating,subcritical,94600,1,7.9
Indiana,1984,Spencer,operating,supercritical,96100,6.2,43.3
Indiana,1989,Spencer,operating,supercritical,96100,6.2,43.3
Montana,1990,NA,operating,subcritical,94600,0.2,1.9
North Carolina,1966,Person,operating,subcritical,94600,2.2,17.2
North Carolina,1968,Person,operating,subcritical,94600,3.2,25.5
North Carolina,1973,Person,operating,subcritical,94600,3.6,28.9
North Carolina,1980,Person,operating,subcritical,94600,3.6,28.9
Louisiana,1982,Calcasieu,operating,subcritical,96100,3,15.1
Missouri,1976,Jefferson,operating,subcritical,96100,3.1,9.2
Missouri,1977,Jefferson,operating,subcritical,96100,3.1,9.2
Ohio,1967,Jefferson,operating,subcritical,95350,1.8,3.5
Ohio,1969,Jefferson,operating,supercritical,95350,3.2,6.4
Ohio,1971,Jefferson,operating,supercritical,95350,3.2,6.4
New Mexico,1973,San Juan,operating,subcritical,96100,2,9.8
New Mexico,1982,San Juan,operating,subcritical,96100,2.7,13.7
Texas,1982,Atascosa,operating,subcritical,101000,2.3,11.5
Texas,2013,McLennan,operating,supercritical,96100,3.8,119
Indiana,1983,Jasper,operating,subcritical,94600,2.2,4.4
Indiana,1986,Jasper,operating,subcritical,94600,2.2,4.4
Georgia,1982,Monroe,operating,subcritical,96100,4.4,22
Georgia,1984,Monroe,operating,subcritical,96100,4.4,8.8
Georgia,1987,Monroe,operating,subcritical,96100,4.4,30.7
New Hampshire,1952,Rockingham,operating,subcritical,94600,0.3,1.3
New Hampshire,1957,Rockingham,operating,subcritical,94600,0.3,1.3
Pennsylvania,1993,NA,operating,subcritical,94600,0.5,5.7
Florida,1984,Putnam,operating,subcritical,94600,3.6,7.1
Florida,1985,Putnam,operating,subcritical,94600,3.6,10.7
Pennsylvania,2004,Indiana,operating,subcritical,94600,2.5,54.9
Kentucky,1953,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1953,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1953,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1954,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1954,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1954,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1954,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1955,McCracken,operating,subcritical,94600,1,4.9
Kentucky,1955,McCracken,operating,subcritical,94600,1,4.9
Nebraska,1961,Lancaster,operating,subcritical,94600,0.6,3.1
Nebraska,1965,Lancaster,operating,subcritical,94600,0.7,3.4
Minnesota,1976,Sherburne,operating,subcritical,96100,3.8,18.9
Minnesota,1977,Sherburne,operating,subcritical,96100,3.8,7.5
Minnesota,1987,Sherburne,operating,subcritical,96100,4.6,41.6
Missouri,1981,Scott,operating,subcritical,94600,1.5,7.3
Minnesota,1955,Lake,operating,subcritical,96100,0.3,1.4
Minnesota,1962,Lake,operating,subcritical,96100,0.5,2.3
Missouri,1967,St Charles,operating,supercritical,95350,2.6,23.4
Missouri,1968,St Charles,operating,supercritical,95350,2.6,23.4
Oklahoma,1979,Noble,operating,subcritical,96100,2.8,14
Oklahoma,1980,Noble,operating,subcritical,96100,2.8,14
Wisconsin,1959,Milwaukee,operating,subcritical,94600,1.7,3.4
Wisconsin,1961,Milwaukee,operating,subcritical,94600,1.7,3.4
Wisconsin,1965,Milwaukee,operating,subcritical,94600,1.7,5
Wisconsin,1967,Milwaukee,operating,subcritical,94600,1.7,5.1
North Dakota,2014,NA,operating,subcritical,101000,0.5,0.5
Pennsylvania,1989,NA,operating,subcritical,96100,0.3,1.8
Arizona,1985,Apache,operating,subcritical,96100,2.3,13.6
Arizona,1990,Apache,operating,subcritical,96100,2.3,24.9
Arizona,2006,Apache,operating,subcritical,96100,2,47.7
Arizona,2009,Apache,operating,subcritical,96100,2,53.6
Kentucky,1977,Mason,operating,subcritical,94600,1.9,9.4
Kentucky,1981,Mason,operating,subcritical,94600,2.9,14.4
Kentucky,2005,Mason,operating,subcritical,94600,1.5,35.3
Kentucky,2009,Mason,operating,subcritical,94600,1.5,41.4
Michigan,1953,St Clair,retired,subcritical,96100,0.9,0
Michigan,1954,St Clair,retired,subcritical,96100,0.9,0
Michigan,1961,St Clair,retired,subcritical,96100,1.9,0
Michigan,1969,St Clair,retired,subcritical,94600,2.6,0
Pennsylvania,1990,Schuylkill,operating,subcritical,98300,0.6,4.6
Florida,1987,Orange,operating,subcritical,94600,2.3,13.5
Florida,1996,Orange,operating,subcritical,94600,2.2,13
Utah,1993,NA,operating,subcritical,94600,0.3,3.5
Minnesota,1957,Cook,operating,subcritical,94600,0.5,0.5
Minnesota,1957,Cook,operating,subcritical,94600,0.5,0.5
Michigan,1990,NA,operating,subcritical,94600,0.4,3.2
Missouri,1966,Randolph,operating,subcritical,96100,1,4.9
Missouri,1969,Randolph,operating,subcritical,96100,1.6,7.8
Missouri,1982,Randolph,operating,subcritical,96100,3.6,18.2
Texas,1982,Lamb,operating,subcritical,96100,2.8,30.8
Texas,1985,Lamb,operating,subcritical,96100,2.8,30.8
Michigan,1968,Wayne,retired,subcritical,95350,2.6,0
Kentucky,1990,Trimble,operating,subcritical,94600,2.7,22
Kentucky,2011,Trimble,operating,supercritical,95350,3.5,100.6
Nevada,2008,Eureka,operating,subcritical,96100,1.2,1.2
Virginia,2012,Wise,operating,subcritical,94600,2.9,85.5
Iowa,1978,Pottawattamie,operating,subcritical,96100,3.6,17.9
Iowa,2007,Pottawattamie,operating,supercritical,96100,3.9,96.6
Georgia,1976,Heard,operating,supercritical,94600,4.5,31.2
Georgia,1978,Heard,operating,supercritical,94600,4.5,31.2
Indiana,1960,Warrick,operating,subcritical,94600,0.9,4.7
Indiana,1964,Warrick,operating,subcritical,94600,0.9,4.7
Indiana,1965,Warrick,operating,subcritical,94600,0.9,4.7
Indiana,1970,Warrick,operating,subcritical,94600,1.7,8.5
South Carolina,1970,Richland,operating,supercritical,94600,2,13.7
South Carolina,1971,Richland,operating,supercritical,94600,2,13.7
Illinois,1958,Lake,retired,subcritical,96100,1.7,0
Illinois,1962,Lake,retired,subcritical,96100,1.9,0
Texas,1977,Titus,operating,subcritical,96100,2.7,19.2
Texas,1982,Titus,operating,subcritical,96100,2.7,19.2
Wisconsin,1981,Marathon,operating,subcritical,96100,1.9,9.3
Wisconsin,2008,Marathon,operating,supercritical,96100,2.5,64.8
Pennsylvania,1987,NA,operating,subcritical,98300,0.2,1.1
Nebraska,1981,Adams,operating,subcritical,96100,0.4,2.2
Nebraska,2011,Adams,operating,subcritical,96100,1.3,36.9
Arkansas,1980,Jefferson,operating,subcritical,96100,4.4,31
Arkansas,1981,Jefferson,operating,subcritical,96100,4.4,31
Indiana,1955,Wayne,operating,subcritical,94600,0.2,0.9
Indiana,1973,Wayne,operating,subcritical,94600,0.3,1.7
Illinois,1963,Will,retired,subcritical,96100,2.9,0
South Carolina,1973,Berkeley,operating,supercritical,94600,3,20.8
Kentucky,1984,Ohio,operating,subcritical,94600,2.5,4.9
South Carolina,1975,Georgetown,operating,subcritical,94600,1.7,9.9
South Carolina,1977,Georgetown,operating,subcritical,94600,1.7,9.9
South Carolina,1980,Georgetown,operating,subcritical,94600,1.7,3.3
South Carolina,1981,Georgetown,operating,subcritical,94600,1.7,3.3
Wyoming,2008,Campbell,operating,subcritical,96100,0.5,12.7
Wyoming,2003,Campbell,operating,subcritical,96100,0.5,9.5
Wyoming,2010,Campbell,operating,subcritical,96100,0.6,16.7
Wyoming,1978,Campbell,operating,subcritical,96100,2.1,38.5
Ohio,1991,Clermont,retired,supercritical,94600,6.7,0
California,1990,San Bernardino,retired,subcritical,94600,0.6,0
New York,1950,Yates,retired,subcritical,94600,0.3,0
New York,1953,Yates,retired,subcritical,94600,0.6,0
New York,1948,NA,retired,subcritical,96100,0.2,0
New York,1952,NA,retired,subcritical,96100,0.3,0
New York,1945,NA,retired,subcritical,96100,0.2,0
New York,1950,NA,retired,subcritical,96100,0.2,0
Connecticut,1989,New London,retired,subcritical,94600,1.2,0
New York,1943,Broome,retired,subcritical,96100,0.3,0
New York,1951,NA,retired,subcritical,96100,0.4,0
West Virginia,1952,Preston,retired,subcritical,94600,0.4,0
West Virginia,1952,Preston,retired,subcritical,94600,0.4,0
West Virginia,1954,Preston,retired,subcritical,94600,0.8,0
Tennessee,1959,Shelby,retired,subcritical,94600,1.7,0
Tennessee,1959,Shelby,retired,subcritical,94600,1.7,0
Tennessee,1959,Shelby,retired,subcritical,94600,1.7,0
Wisconsin,1957,Buffalo,retired,subcritical,95350,0.3,0
Wisconsin,1959,Buffalo,retired,subcritical,95350,0.5,0
Virginia,1992,NA,retired,subcritical,96100,0.4,0
Iowa,1968,Story,retired,subcritical,96100,0.2,0
Iowa,1982,Story,retired,subcritical,96100,0.4,0
Arizona,1979,Cochise,retired,subcritical,96100,1.2,0
Colorado,1950,Denver,retired,subcritical,94600,0.2,0
Colorado,1951,Denver,retired,subcritical,94600,0.2,0
Colorado,1951,Denver,retired,subcritical,94600,0.2,0
Colorado,1955,Denver,retired,subcritical,94600,0.6,0
Georgia,1941,NA,retired,subcritical,96100,0.3,0
Georgia,1942,NA,retired,subcritical,96100,0.3,0
Georgia,1943,NA,retired,subcritical,96100,0.2,0
Georgia,1948,NA,retired,subcritical,96100,0.3,0
Pennsylvania,1958,Armstrong,retired,subcritical,94600,0.9,0
Pennsylvania,1959,Armstrong,retired,subcritical,94600,0.9,0
Missouri,1970,Jasper,retired,subcritical,95350,1.2,0
North Carolina,1964,Buncombe,retired,subcritical,94600,1.2,0
North Carolina,1971,Buncombe,retired,subcritical,94600,1.2,0
Ohio,1958,Ashtabula,retired,subcritical,94600,1.4,0
Ohio,1953,Ashtabula,retired,subcritical,94600,0.3,0
Ohio,1953,Ashtabula,retired,subcritical,94600,0.3,0
Ohio,1972,Ashtabula,retired,subcritical,94600,0.3,0
Ohio,1972,Ashtabula,retired,subcritical,94600,0.3,0
Ohio,1949,Ashtabula,retired,subcritical,96100,0.5,0
Ohio,1949,Lorain,retired,supercritical,94600,0.5,0
Indiana,1962,Porter,retired,subcritical,94600,1.1,0
Indiana,1968,Porter,retired,supercritical,95350,2.1,0
Illinois,1975,Randolph,retired,subcritical,96100,3.1,0
Alabama,1954,Mobile,retired,subcritical,94600,0.9,0
Alabama,1954,Mobile,retired,subcritical,94600,0.9,0
Alabama,1959,Mobile,retired,subcritical,94600,1.5,0
Ohio,1955,Lucas,retired,subcritical,94600,0.8,0
Ohio,1959,Lucas,retired,subcritical,96100,0.8,0
Ohio,1963,Lucas,retired,subcritical,96100,0.8,0
Ohio,1968,Lucas,retired,subcritical,96100,1.2,0
Florida,1957,NA,retired,subcritical,96100,0.7,0
Florida,1958,NA,retired,subcritical,96100,0.7,0
Florida,1960,NA,retired,subcritical,96100,1,0
Florida,1963,NA,retired,subcritical,96100,1.1,0
Florida,1965,NA,retired,subcritical,96100,1.4,0
Florida,1967,NA,retired,subcritical,96100,2.4,0
Pennsylvania,1987,Beaver,retired,subcritical,96100,0.2,0
Pennsylvania,1987,Beaver,retired,subcritical,96100,0.6,0
Ohio,1952,Clermont,retired,subcritical,94600,0.6,0
Ohio,1953,Clermont,retired,subcritical,94600,0.6,0
Ohio,1954,Clermont,retired,subcritical,94600,0.7,0
Ohio,1958,Clermont,retired,subcritical,94600,0.9,0
Ohio,1962,Clermont,retired,subcritical,94600,1.4,0
Ohio,1969,Clermont,retired,subcritical,94600,2.2,0
New York,1948,NA,retired,subcritical,96100,0.4,0
New York,1950,NA,retired,subcritical,96100,0.4,0
New York,1953,NA,retired,subcritical,96100,0.4,0
Texas,1971,Freestone,retired,supercritical,98550,2.9,0
Texas,1972,Freestone,retired,supercritical,98550,2.9,0
Louisiana,1982,Pointe Coupee,retired,subcritical,96100,3.1,0
Kentucky,1963,Lawrence,retired,subcritical,94600,1.6,0
Kentucky,1969,Lawrence,retired,supercritical,94600,3.8,0
Virginia,1996,King George,retired,subcritical,94600,1.4,0
Minnesota,1952,Dakota,retired,subcritical,95350,0.5,0
Minnesota,1955,Dakota,retired,subcritical,95350,0.6,0
Minnesota,1960,Dakota,retired,subcritical,95350,0.9,0
New York,1989,NA,retired,subcritical,96100,0.3,0
Wisconsin,1953,NA,retired,subcritical,96100,0.2,0
Wisconsin,1957,NA,retired,subcritical,96100,0.3,0
Wisconsin,1961,NA,retired,subcritical,96100,0.3,0
Missouri,1965,NA,retired,subcritical,94600,0.4,0
Oregon,1980,Morrow,retired,subcritical,96100,3.2,0
Minnesota,1958,Itasca,retired,subcritical,96100,0.4,0
Minnesota,1960,Itasca,retired,subcritical,96100,0.4,0
Massachusetts,1963,Bristol,retired,subcritical,94600,1.4,0
Massachusetts,1964,Bristol,retired,subcritical,94600,1.4,0
Massachusetts,1969,Bristol,retired,supercritical,94600,3,0
Virginia,1950,NA,retired,subcritical,96100,0.4,0
Virginia,1958,NA,retired,subcritical,96100,1.1,0
Connecticut,1968,Fairfield,retired,subcritical,96100,2.1,0
Pennsylvania,1976,Beaver,retired,supercritical,94600,4.3,0
Pennsylvania,1977,Beaver,retired,supercritical,94600,4.3,0
Pennsylvania,1980,Beaver,retired,supercritical,94600,4.3,0
North Carolina,1941,Rowan,retired,subcritical,94600,0.5,0
North Carolina,1942,Rowan,retired,subcritical,94600,0.2,0
North Carolina,1953,Rowan,retired,subcritical,94600,0.7,0
North Carolina,1953,Rowan,retired,subcritical,94600,0.7,0
Ohio,1950,Belmont,retired,subcritical,94600,0.6,0
Ohio,1955,Belmont,retired,subcritical,94600,0.9,0
Ohio,1955,Belmont,retired,subcritical,94600,0.9,0
Florida,1982,Polk,retired,subcritical,94600,1.9,0
Pennsylvania,1991,NA,retired,subcritical,96100,0.5,0
Colorado,1960,NA,retired,subcritical,96100,0.3,0
South Carolina,1962,Colleton,retired,subcritical,94600,0.8,0
South Carolina,1964,Colleton,retired,subcritical,94600,0.8,0
South Carolina,1967,Colleton,retired,subcritical,94600,1.2,0
Kentucky,1962,Jefferson,retired,subcritical,94600,0.9,0
Kentucky,1966,Jefferson,retired,subcritical,94600,1.2,0
Kentucky,1969,Jefferson,retired,subcritical,94600,1.5,0
North Carolina,1956,Chatham,retired,subcritical,94600,0.8,0
North Carolina,1958,Chatham,retired,subcritical,94600,1.1,0
Utah,1954,Carbon,retired,subcritical,96100,0.4,0
Utah,1957,Carbon,retired,subcritical,96100,0.6,0
New York,1955,Tompkins,retired,subcritical,94600,0.9,0
New York,1958,Tompkins,retired,subcritical,94600,0.9,0
Florida,1994,Duval,retired,subcritical,94600,1.6,0
Texas,1979,NA,retired,subcritical,96100,0.2,0
Florida,1988,Hernando,retired,subcritical,96100,0.7,0
Washington,1972,Lewis,retired,subcritical,96100,3.6,0
Maryland,1964,Prince Georges,retired,supercritical,94600,1.8,0
Maryland,1965,Prince Georges,retired,supercritical,94600,1.8,0
Missouri,1960,NA,retired,subcritical,94600,0.2,0
Alabama,1969,Washington,retired,subcritical,94600,0.4,0
Alabama,1978,Washington,retired,subcritical,94600,1.3,0
Alabama,1980,Washington,retired,subcritical,94600,1.3,0
Colorado,1957,Adams,retired,subcritical,94600,0.7,0
Colorado,1959,Adams,retired,subcritical,96100,0.7,0
Colorado,1962,Adams,retired,subcritical,96100,1,0
Colorado,1968,Adams,retired,subcritical,94600,2,0
Virginia,1953,Chesapeake,retired,subcritical,94600,0.6,0
Virginia,1954,Chesapeake,retired,subcritical,94600,0.6,0
Virginia,1959,Chesapeake,retired,subcritical,94600,1,0
Virginia,1962,Chesapeake,retired,subcritical,94600,1.3,0
Virginia,1952,Chesterfield,retired,subcritical,94600,0.6,0
Virginia,1960,Chesterfield,retired,subcritical,94600,1.1,0
Ohio,1967,NA,retired,subcritical,96100,0.2,0
Arizona,1978,Navajo,retired,subcritical,95350,1.6,0
Arizona,1981,Navajo,retired,subcritical,95350,2.2,0
Virginia,1958,Russell,retired,subcritical,94600,1.3,0
Virginia,1958,Russell,retired,subcritical,94600,1.3,0
Virginia,1961,Russell,retired,subcritical,94600,1.3,0
Michigan,1956,Muskegon,retired,subcritical,95350,0.9,0
Michigan,1957,Muskegon,retired,subcritical,95350,0.9,0
Illinois,1965,Montgomery,retired,subcritical,94600,2,0
Illinois,1972,Montgomery,retired,subcritical,94600,3,0
Virginia,1988,Portsmouth City,retired,subcritical,96100,0.3,0
Virginia,1988,Portsmouth City,retired,subcritical,96100,0.3,0
Alabama,1955,Colbert,retired,subcritical,94600,1.1,0
Alabama,1955,Colbert,retired,subcritical,94600,1.1,0
Alabama,1955,Colbert,retired,subcritical,94600,1.1,0
Alabama,1955,Colbert,retired,subcritical,94600,1.1,0
Alabama,1965,Colbert,retired,subcritical,94600,2.7,0
Kentucky,1969,NA,retired,unknown,96100,1.2,0
Kentucky,1970,NA,retired,unknown,96100,1.2,0
Kentucky,1971,NA,retired,unknown,96100,1.1,0
Montana,1975,Rosebud,retired,subcritical,96100,1.9,0
Montana,1976,Rosebud,retired,subcritical,96100,1.9,0
Ohio,1959,Coshocton,retired,subcritical,94600,0.8,0
Ohio,1957,Coshocton,retired,subcritical,94600,0.8,0
Ohio,1962,Coshocton,retired,subcritical,94600,0.9,0
Ohio,1973,Coshocton,retired,supercritical,94600,3.9,0
Ohio,1976,Coshocton,retired,subcritical,94600,2.3,0
Ohio,1978,Coshocton,retired,subcritical,94600,2.3,0
Montana,1968,Yellowstone,retired,subcritical,96100,1,0
Maryland,1961,Baltimore,retired,subcritical,96100,1.1,0
Maryland,1963,Baltimore,retired,subcritical,96100,1.2,0
Illinois,1958,Cook,retired,subcritical,96100,1.4,0
Illinois,1961,Cook,retired,subcritical,96100,1.9,0
Florida,1959,Escambia,retired,subcritical,94600,0.5,0
Florida,1961,Escambia,retired,subcritical,94600,0.5,0
Florida,1970,Escambia,retired,subcritical,94600,1.9,0
Florida,1973,Escambia,retired,subcritical,94600,2.8,0
Pennsylvania,1954,Chester,retired,subcritical,94600,1.1,0
Florida,1966,Citrus,retired,subcritical,94600,2.3,0
Florida,1969,Citrus,retired,subcritical,94600,2.5,0
Kentucky,1957,Clark,retired,subcritical,94600,0.5,0
Kentucky,1960,Clark,retired,subcritical,94600,0.5,0
Illinois,1968,Sangamon,retired,subcritical,94600,0.5,0
Illinois,1972,Sangamon,retired,subcritical,94600,0.5,0
Illinois,1978,Sangamon,retired,subcritical,94600,1.2,0
North Carolina,1949,Rockingham,retired,subcritical,94600,0.4,0
North Carolina,1950,Rockingham,retired,subcritical,94600,0.4,0
North Carolina,1955,Rockingham,retired,subcritical,94600,0.8,0
New York,1959,Orange,retired,subcritical,94600,0.8,0
New York,1967,Orange,retired,subcritical,94600,1.3,0
Indiana,1970,Lake,retired,subcritical,95350,0.7,0
Indiana,1956,Lake,retired,subcritical,96100,0.8,0
Indiana,1959,Lake,retired,subcritical,96100,0.7,0
Indiana,1959,Lake,retired,subcritical,95350,0.7,0
New Jersey,1958,NA,retired,subcritical,94600,0.5,0
Maryland,1959,Montgomery,retired,subcritical,94600,1.1,0
Maryland,1960,Montgomery,retired,subcritical,94600,1.1,0
Maryland,1962,Montgomery,retired,subcritical,94600,1.1,0
Louisiana,1986,De Soto,retired,subcritical,101000,3.7,0
Iowa,1959,NA,retired,subcritical,96100,0.2,0
Illinois,1950,Fulton,retired,subcritical,95350,0.5,0
Kentucky,1957,Mercer,retired,subcritical,94600,0.6,0
Kentucky,1963,Mercer,retired,subcritical,94600,1,0
Indiana,1951,Morgan,retired,subcritical,94600,0.3,0
Indiana,1953,Morgan,retired,subcritical,94600,0.4,0
Indiana,1953,Morgan,retired,subcritical,94600,0.4,0
Indiana,1956,Morgan,retired,subcritical,94600,0.6,0
Iowa,1960,NA,retired,subcritical,94600,0.2,0
Ohio,1953,Lake,retired,subcritical,94600,0.7,0
Ohio,1953,Lake,retired,subcritical,94600,0.7,0
Ohio,1954,Lake,retired,subcritical,94600,0.7,0
Ohio,1956,Lake,retired,subcritical,94600,1.2,0
Ohio,1972,Lake,retired,supercritical,94600,3.2,0
Michigan,1954,Ingham,retired,subcritical,94600,0.2,0
Michigan,1958,Ingham,retired,subcritical,94600,0.2,0
Michigan,1960,Ingham,retired,subcritical,94600,0.3,0
Michigan,1964,Ingham,retired,subcritical,94600,0.5,0
Michigan,1968,Ingham,retired,subcritical,94600,0.5,0
Michigan,1970,Ingham,retired,subcritical,94600,0.5,0
Pennsylvania,1960,Delaware,retired,supercritical,94600,1.8,0
Pennsylvania,1960,Delaware,retired,supercritical,94600,1.8,0
Delaware,1954,New Castle,retired,subcritical,94600,0.4,0
Delaware,1966,New Castle,retired,subcritical,94600,1,0
Delaware,1973,New Castle,retired,subcritical,94600,2.3,0
North Carolina,1990,Edgecombe,retired,subcritical,96100,0.3,0
North Carolina,1990,Edgecombe,retired,subcritical,96100,0.3,0
Wisconsin,1951,Sheboygan,retired,subcritical,96100,0.4,0
Wisconsin,1969,Sheboygan,retired,subcritical,96100,1.9,0
Illinois,1960,Peoria,retired,subcritical,94600,0.8,0
Indiana,1949,Knox,retired,subcritical,94600,0.2,0
Indiana,1951,Knox,retired,subcritical,94600,0.4,0
North Carolina,1985,NA,retired,subcritical,94600,0.2,0
Kentucky,1964,Daviess,retired,subcritical,94600,0.9,0
Kentucky,1974,Daviess,retired,subcritical,94600,1.6,0
Pennsylvania,1952,Washington,retired,subcritical,94600,0.6,0
Pennsylvania,1953,Washington,retired,subcritical,94600,0.6,0
Pennsylvania,1954,Washington,retired,subcritical,94600,0.7,0
Pennsylvania,1960,Washington,retired,subcritical,94600,1,0
Michigan,1982,NA,retired,subcritical,94600,0.3,0
New Jersey,1962,Cape May,retired,subcritical,95350,0.8,0
New Jersey,1964,Cape May,retired,subcritical,95350,0.9,0
New Mexico,1984,McKinley,retired,subcritical,96100,1.5,0
Indiana,1955,Warrick,retired,subcritical,94600,0.3,0
Iowa,1967,NA,retired,subcritical,94600,0.2,0
Florida,1982,NA,retired,subcritical,94600,0.2,0
Florida,1988,NA,retired,subcritical,94600,0.3,0
Illinois,1968,Cook,retired,subcritical,96100,2,0
New Mexico,1963,San Juan,retired,subcritical,96100,1.1,0
New Mexico,1963,San Juan,retired,subcritical,96100,1.1,0
New Mexico,1964,San Juan,retired,subcritical,96100,1.4,0
Indiana,1970,NA,retired,subcritical,96100,0.7,0
Indiana,1970,NA,retired,subcritical,96100,0.7,0
Virginia,1970,NA,retired,subcritical,96100,0.2,0
Virginia,1977,NA,retired,subcritical,96100,0.6,0
North Carolina,1957,Gaston,retired,subcritical,94600,0.9,0
North Carolina,1959,Gaston,retired,subcritical,94600,1.5,0
North Carolina,1960,Gaston,retired,subcritical,94600,1.5,0
Alabama,1949,NA,retired,unknown,96100,0.4,0
Alabama,1949,NA,retired,unknown,96100,0.4,0
Indiana,1959,Floyd,retired,subcritical,94600,0.8,0
Indiana,1958,Floyd,retired,subcritical,94600,0.8,0
Indiana,1960,Floyd,retired,subcritical,94600,0.8,0
Indiana,1961,Floyd,retired,subcritical,94600,0.8,0
Alabama,1960,Shelby,retired,subcritical,94600,1.5,0
Alabama,1960,Shelby,retired,subcritical,94600,1.5,0
Alabama,1961,Shelby,retired,subcritical,94600,1.5,0
Alabama,1962,Shelby,retired,subcritical,94600,1.4,0
Wisconsin,1969,Vernon,retired,supercritical,95350,1.8,0
Iowa,1964,Woodbury,retired,subcritical,96100,0.8,0
Iowa,1972,Woodbury,retired,subcritical,96100,1.9,0
Texas,1983,Grimes,retired,subcritical,96100,2.2,0
Virginia,1944,Giles,retired,subcritical,94600,0.6,0
Virginia,1957,Giles,retired,subcritical,94600,1.3,0
Alabama,1972,Walker,retired,supercritical,94600,3.7,0
Alabama,1951,Walker,retired,subcritical,94600,0.7,0
Alabama,1952,Walker,retired,subcritical,94600,0.7,0
Alabama,1956,Walker,retired,subcritical,94600,1.1,0
Alabama,1958,Walker,retired,subcritical,94600,1.1,0
South Carolina,1966,Horry,retired,subcritical,94600,0.5,0
South Carolina,1966,Horry,retired,subcritical,94600,0.5,0
